# <HTML> 
# <meta charset="UTF-8"> 
# <PRE>
# This is an artificial data of 50 students. Recorded variables are
# Student name(This is in Korean language so it may look broken)
# Korean language(korean), englsih, math, natural sci.(ss) 
# and social sci.(ss)
#
# You may read this like:
# score <- read.table(url("http://jupiter.hallym.ac.kr/ftpdata/data/score.dat"), header = TRUE, 
#            encoding="UTF-8",  stringsAsFactors=FALSE)
# Or save this file to ur PC and 
# score <- read.table(file="d:/ur/folder/score.dat", header = TRUE, fileEncoding="UTF-8",  
#     stringsAsFactors=FALSE)
# 
name  korean english math ns ss
강대성  67   87   60   85   80
한준호  63   73   82   73   85
김종욱  74   53   76   72   58
박상호  55   65   49   84   96
김소현  76   69   69   92   70
김태성  59   98   70   77   80
이상훈  63   76   75   74   83
이흥호  74   79   47   64   69
조한걸  49   58   68   75   79
김규남  71   78   57   70   74
김수영  55   80   68   66   68
김수희  87   80   72   64   65
김유리  85   64   75   70   70
김예원  58   88   50   95   75
장인섭  68   66   51   87   80
박석민  54   78   65   83   65
윤이택  73   70   78   85   68
김재원  69   72   66   68   75
남창수  59   73   65   72   68
신혁재  61   80   71   58   84
이찬호  61   69   67   78   86
길혜영  79   82   65   94   66
홍건희  62   56   60   84   89
구하연  66   87   58   93   80
김연빈  56   61   51   87   66
김지혜  69   82   65   86   69
백광희  53   99   84   82   70
신경아  74   80   65  102   84
윤나현  65   72   74   72   66
이다은  61   71   56   95   89
이란영  66   73   72   75   60
이순슬  58   38   72   81   63
이윤정  83   78   68   79  101
최혜정  75   80   73   71   79
이지은  67   94   63   80   55
방성현  50   81   64   82   88
송농협  70   74   66   92   67
이지선  64   65   69   87   82
최혁재  84   88   73   79   68
김기웅  70   73   69   76   60
김형섭  92   71   68   92   86
이창현  80   75   67   81   74
조연재  65   77   64   73   85
연혜빈  79   85   70   85   89
이소영  70   69   59   95   65
김성홍  50   77   74   83   80
정미경  84   82   60   61   70
최수진  76   86   79   73   77
정지영  71   70   40   91   85
강민호  56   86   58   70   83
#</PRE>
